tahun_pemilu,kecamatan,kelurahan,no_tps,id_record,dpt,pengguna_hak_pilih,partisipasi_politik,dpt_total_tps,penduduk_total_kelurahan,penduduk_total_kecamatan,rasio_dpt_terhadap_penduduk_kelurahan,pendapatan_per_kapita,tingkat_pengangguran,kepadatan_penduduk,ipm,jumlah_usia_17_24_kec,jumlah_usia_25_44_kec,jumlah_usia_45_plus_kec,persen_usia_17_24_kec,persen_usia_25_44_kec,persen_usia_45_plus_kec
2024,BANJARMASIN BARAT,KUIN SELATAN,10,2024-BANJARMASIN BARAT-KUIN SELATAN-010,266,211,79.32,266,11581,137895,2.3,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,11,2024-BANJARMASIN BARAT-KUIN SELATAN-011,280,203,72.5,280,11581,137895,2.42,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,12,2024-BANJARMASIN BARAT-KUIN SELATAN-012,279,220,78.85,279,11581,137895,2.41,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,13,2024-BANJARMASIN BARAT-KUIN SELATAN-013,279,222,79.57,279,11581,137895,2.41,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,14,2024-BANJARMASIN BARAT-KUIN SELATAN-014,288,229,79.51,288,11581,137895,2.49,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,15,2024-BANJARMASIN BARAT-KUIN SELATAN-015,224,183,81.7,224,11581,137895,1.93,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,31,2024-BANJARMASIN BARAT-KUIN SELATAN-031,287,227,79.09,287,11581,137895,2.48,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,32,2024-BANJARMASIN BARAT-KUIN SELATAN-032,278,203,73.02,278,11581,137895,2.4,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,33,2024-BANJARMASIN BARAT-KUIN SELATAN-033,288,233,80.9,288,11581,137895,2.49,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,1,2024-BANJARMASIN BARAT-PELAMBUAN-001,239,175,73.22,239,25504,137895,0.94,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
